Primary_ID,Company_Name,Homepage,Domain,Total_Fundings,Status,Country_Code,State_Code,Region,City,Funding_Rounds,First_Funding_Date,Last_Funding_Date,Pasted field 1
16,BetterCompany,http://bettercompany.co,Advertising,7700000.0,operating,USA,CA,SF Bay Area,San Francisco,2,10/4/2014,19/5/2015,
17,FourthWall Media,http://www.fourthwallmedia.tv,Advertising,25071584.0,operating,USA,TX,Dallas,Plano,2,3/8/2006,16/4/2012,
34,Convirza,https://www.convirza.com/,Advertising,29050000.0,operating,USA,UT,Salt Lake City,Draper,5,1/1/2010,11/6/2015,
62,Fraudwall Technologies,http://www.fraudwall.net,Advertising,5510000.0,operating,,,,,2,1/3/2007,1/9/2007,
67,"Gameface Media, Inc.",http://www.gamefacemedia.com,Advertising,6500000.0,operating,USA,MA,Boston,Boston,2,7/8/2014,21/7/2015,
81,iConText,http://icontext.ru/,Advertising,10000000.0,closed,RUS,48,Moscow,Moscow,1,21/8/2013,21/8/2013,
83,Impact Engine,http://www.impactengine.com,Advertising,3200000.0,operating,USA,CA,San Diego,La Jolla,1,1/7/2007,1/7/2007,
94,Latina Media Ventures LLC,,Advertising,20000000.0,operating,,,,,1,14/11/2000,14/11/2000,
115,Nippo,http://www.nippo.ie,Advertising,21189.0,closed,LVA,,,,1,5/9/2011,5/9/2011,
124,PaperShare,http://www.papershare.com,Advertising,2400000.0,acquired,USA,WA,Seattle,Kirkland,2,1/7/2011,4/9/2013,
125,PDV,http://pdvltd.com,Advertising,6220000.0,operating,GBR,F8,Watford,Watford,2,2/5/2000,5/3/2002,
133,Pudding Media,http://www.puddingmedia.com,Advertising,14500000.0,operating,USA,CA,SF Bay Area,San Francisco,3,18/5/2007,20/7/2009,
142,Rondebosch,http://rondeboschinc.com/,Advertising,,operating,USA,GA,Atlanta,Roswell,1,23/11/2014,23/11/2014,
146,SergeMD,http://www.sergemd.com/,Advertising,,operating,USA,TN,Memphis,Memphis,1,28/5/2011,28/5/2011,
151,SkyWire,http://www.skywire.com,Advertising,1673537.0,operating,USA,NV,Las Vegas,Las Vegas,1,12/3/2014,12/3/2014,
171,The Influential Network,https://influential.co,Advertising,1500000.0,operating,,,,,1,9/6/2015,9/6/2015,
183,Videscape,http://www.videscape.com/,Advertising,165000.0,operating,,,,,1,4/12/2014,4/12/2014,
184,Visual.ly,http://visual.ly,Advertising,15700000.0,operating,USA,CA,SF Bay Area,San Francisco,4,20/10/2011,5/3/2015,
187,WeGreek,http://wegreekapp.com,Advertising,,operating,USA,AR,Fayetteville,Fayetteville,1,3/9/2013,3/9/2013,
192,WP Engine,http://wpengine.com,Advertising,39200000.0,operating,USA,TX,Austin,Austin,3,15/11/2011,25/3/2015,
198,YR.MRKT,http://www.yrmrkt.com,Advertising,50000.0,operating,USA,NY,New York City,New York,1,1/1/2012,1/1/2012,
6,AlchemyAPI,http://www.alchemyapi.com,AI / Big Data,2000000.0,acquired,USA,CO,Denver,Denver,1,15/2/2013,15/2/2013,
9,ARTDEX,http://www.artdex.com,AI / Big Data,500000.0,operating,USA,NY,New York City,New City,1,30/9/2012,30/9/2012,
21,Bwareit,https://www.bwareit.com,AI / Big Data,100000.0,closed,ISR,5,Tel Aviv,Tel Aviv,1,1/9/2014,1/9/2014,
68,Geostellar,http://www.geostellar.com,AI / Big Data,18250000.0,operating,USA,VA,"Washington, D.C.",Reston,5,5/4/2011,1/10/2015,
72,Grau Data Storage,http://www.graudata.com/,AI / Big Data,8500000.0,operating,DEU,1,DEU - Other,SchwÃ¤bisch GmÃ¼nd,1,15/1/2002,15/1/2002,
92,Klink,http://www.klink.com,AI / Big Data,,operating,USA,NY,New York City,New York,1,1/1/2013,1/1/2013,
148,Signifyd,http://www.signifyd.com,AI / Big Data,11000000.0,operating,USA,CA,SF Bay Area,San Jose,3,19/12/2012,22/6/2015,
155,SOFIA,http://www.edouard-siregar-biho.squarespace.com/,AI / Big Data,500000.0,operating,,,,,1,29/7/2015,29/7/2015,
25,Cebix,http://www.cebix.com,Biotechnology,96287638.0,operating,USA,CA,San Diego,La Jolla,5,30/10/2009,13/11/2014,
36,Corvus Pharmaceuticals,http://www.corvuspharma.com/,Biotechnology,108500000.0,operating,USA,CA,SF Bay Area,Burlingame,2,1/12/2014,25/9/2015,
45,DistalMotion,http://www.distalmotion.com,Biotechnology,,operating,CHE,23,Lausanne,Lausanne,1,21/8/2013,21/8/2013,
48,Durata Therapeutics,http://www.duratatherapeutics.com,Biotechnology,70000000.0,acquired,USA,CT,Hartford,Branford,1,7/11/2013,7/11/2013,
78,Humacyte,http://humacyte.com,Biotechnology,199762373.0,operating,USA,NC,Raleigh,Morrisville,2,16/1/2015,20/10/2015,
82,ImmuneWorks,http://www.immuneworks.com,Biotechnology,735000.0,operating,USA,IN,Indianapolis,Indianapolis,3,30/10/2007,26/12/2013,
87,Ionix Medical,http://ionixmedical.com,Biotechnology,18333503.0,operating,USA,MN,Minneapolis,Maple Grove,1,20/9/2009,20/9/2009,
90,Kalyra Pharmaceuticals,http://kalyrapharma.com,Biotechnology,6000000.0,operating,USA,CA,San Diego,Escondido,1,21/8/2013,21/8/2013,
102,Marine Life Research,http://www.marineliferesearch.com,Biotechnology,3000000.0,operating,CAN,ON,Ottawa,Kingston,1,4/1/2014,4/1/2014,
106,Mira Rehab,http://www.mirarehab.com,Biotechnology,,operating,GBR,H9,London,London,4,22/1/2013,1/10/2014,
134,Quantum OPS,http://www.quantumops.com,Biotechnology,1050000.0,operating,USA,IN,Fort Wayne,Fort Wayne,1,28/6/2012,28/6/2012,
164,Syrrx,http://www.syrrx.com,Biotechnology,5100000.0,acquired,,,,,1,4/8/2000,4/8/2000,
169,The Center from Health Promotion,http://www.chpcare.com/,Biotechnology,10000000.0,operating,,,,,1,12/11/2003,12/11/2003,
180,Venus Concept,http://venusconcept.com/,Biotechnology,30000000.0,operating,CAN,ON,Toronto,Toronto,2,22/5/2014,3/11/2015,
194,Xylogenics,http://xylogenics.com,Biotechnology,525000.0,operating,USA,IN,Indianapolis,Indianapolis,2,13/5/2010,20/12/2010,
195,Xylos Corporation,http://xyloscorp.com,Biotechnology,1500000.0,closed,USA,PA,Philadelphia,Langhorne,1,20/5/2010,20/5/2010,
199,Zyraz Technology,http://www.zyraz.com,Biotechnology,15419877.0,closed,MYS,14,MYS - Other,Damansara New Village,4,1/1/2008,15/2/2013,
201,Zystor,http://www.zystor.com,Biotechnology,8500000.0,acquired,USA,WI,Milwaukee,Milwaukee,1,16/12/2004,16/12/2004,
202,Zytoprotec,http://www.zytoprotec.com,Biotechnology,2686600.0,operating,AUT,3,Vienna,Gerasdorf Bei Wien,1,29/1/2013,29/1/2013,
65,Future Vision Energy,http://www.futurevisionenergy.com/,Clean Technology,,operating,USA,TN,Nashville,Hendersonville,1,30/12/2014,30/12/2014,
95,LED Optics,http://www.ledoptics.com/,Clean Technology,,operating,USA,FL,Palm Beaches,Boca Raton,1,6/3/2013,6/3/2013,
117,Obamastove,http://www.obamastove.com/,Clean Technology,17000.0,operating,,,,,1,1/9/2014,1/9/2014,
121,OptoNova,http://www.optonova.se,Clean Technology,,operating,SWE,26,Stockholm,Solna,1,28/5/2012,28/5/2012,
37,CreditSuppliers,http://www.creditsuppliers.com,Construction,12500000.0,operating,USA,AZ,Phoenix,Scottsdale,1,20/10/2014,20/10/2014,
168,Technical Sales International,http://technicalsalesinternational.com,Construction,16132000.0,operating,USA,TX,Austin,Austin,1,24/3/2010,24/3/2010,
23,Candy Jar,http://www.candyjar.com/,E-Commerce,118000.0,operating,,,,,1,27/7/2015,27/7/2015,
30,Codelucida,http://www.codelucida.com,E-Commerce,750000.0,operating,USA,AZ,Tucson,Tucson,1,11/9/2015,11/9/2015,
42,Dezains.com,http://www.dezains.com,E-Commerce,50000.0,operating,,,,,1,1/1/2012,1/1/2012,
49,Eat Latin,,E-Commerce,,operating,USA,FL,Miami,Miami,1,15/3/2012,15/3/2012,
51,efish USA,http://www.efishusa.com,E-Commerce,1000000.0,operating,,,,,1,1/1/2014,1/1/2014,
58,EveryScreenMedia,http://www.everyscreenmedia.com,E-Commerce,3500000.0,acquired,USA,NY,New York City,New York,1,6/8/2012,6/8/2012,
64,Furor Technologies Pvt. Ltd.,http://www.furortechnologies.com,E-Commerce,,operating,IND,10,New Delhi,Gurgaon,1,30/9/2014,30/9/2014,
89,JoMaJa,,E-Commerce,3200000.0,operating,USA,CA,SF Bay Area,San Francisco,1,8/11/2007,8/11/2007,
98,LiveStub,http://www.techvibes.com/blog/its-lights-out-for-livestub,E-Commerce,,closed,CAN,BC,Vancouver,Vancouver,1,1/1/2008,1/1/2008,
107,Moodyo,http://www.moodyo.com,E-Commerce,572283.0,operating,ESP,51,ESP - Other,Dos Hermanas,1,14/11/2012,14/11/2012,
109,My Hood,http://www.myhood.cl,E-Commerce,40000.0,operating,CHL,12,Santiago,Santiago,1,6/9/2013,6/9/2013,
119,One Exchange Street,http://www.oneexchangestreet.com/,E-Commerce,1000000.0,operating,USA,IL,Chicago,Chicago Ridge,2,9/4/2012,10/4/2012,
157,Sonoma,http://sonoma.com.br,E-Commerce,700000.0,closed,BRA,2,Sao Paulo,SÃ£o Paulo,3,22/4/2012,1/11/2013,
158,Stefan's Head,http://www.stefanshead.com/,E-Commerce,110000.0,operating,,,,,1,1/10/2015,1/10/2015,
174,TravelKhana.Com,http://www.travelkhana.com,E-Commerce,1000000.0,operating,IND,7,New Delhi,New Delhi,3,4/10/2013,25/11/2015,
185,Viyet,http://www.viyet.com,E-Commerce,2082580.0,operating,USA,NY,New York City,New York,2,1/10/2014,22/7/2015,
190,Whisbi,http://www.whisbi.com,E-Commerce,8610858.0,operating,ESP,56,Barcelona,Barcelona,3,23/1/2012,14/2/2014,
200,Zyrra,http://www.zyrra.com,E-Commerce,1510500.0,operating,USA,MA,Boston,Cambridge,4,21/10/2010,18/10/2012,
22,CampusLogic,http://www.campuslogic.com,EdTech|Education,7750000.0,operating,,,,,2,28/7/2015,1/10/2015,
24,Carnegie Mellon CyLab,http://cylab.cmu.edu,EdTech|Education,3900000.0,operating,USA,PA,Pittsburgh,Pittsburgh,1,12/11/2013,12/11/2013,
162,Studydrive,http://www.studydrive.com,EdTech|Education,,operating,,,,,1,18/6/2015,18/6/2015,
163,Sumpto,http://www.sumpto.com,EdTech|Education,425000.0,closed,USA,NY,New York City,New York,2,1/3/2012,22/10/2013,
182,VersionPress,http://versionpress.net/,EdTech|Education,400000.0,operating,USA,OK,OK - Other,Prague,1,26/10/2015,26/10/2015,
197,Xuexibao,http://www.xuexibao.cn/,EdTech|Education,20000000.0,operating,CHN,22,CHN - Other,Haidian,1,19/1/2015,19/1/2015,
1,11i Solutions,http://www.11isolutions.com,Enterprise Software,1800000.0,closed,USA,AL,Huntsville,Huntsville,1,22/3/2011,22/3/2011,
53,Enterra Solutions,http://www.enterrasolutions.com,Enterprise Software,,operating,USA,VA,"Washington, D.C.",Reston,1,19/10/2011,19/10/2011,
56,EventBoard,https://eventboard.io,Enterprise Software,8000000.0,operating,USA,UT,Salt Lake City,Salt Lake City,2,30/9/2014,11/11/2015,
85,Infonomi,http://www.kurbibeacon.com,Enterprise Software,250000.0,operating,TUR,34,Istanbul,Istanbul,1,1/2/2014,1/2/2014,
96,LendYour,http://lendyour.com,Enterprise Software,34436.0,operating,NZL,G2,Wellington,Wellington,2,10/9/2013,3/5/2014,
100,Makepolo.com,http://china.makepolo.com/,Enterprise Software,,operating,,,,,1,1/7/2012,1/7/2012,
138,"redhotMAYO, Inc",http://redhotmayo.com/,Enterprise Software,30000.0,operating,USA,CA,Anaheim,Irvine,1,1/9/2014,1/9/2014,
204,ZZNode Science and Technology,http://www.zznode.com,Enterprise Software,1587301.0,operating,CHN,22,Beijing,Beijing,1,1/4/2012,1/4/2012,
38,Crowdery,http://www.crowdery.com/,Fashion,,operating,USA,CA,SF Bay Area,Mountain View,1,1/3/2013,1/3/2013,
60,FashionStake,http://fashionstake.com,Fashion,400000.0,acquired,USA,NY,New York City,New York,1,14/8/2010,14/8/2010,
165,Taaz,http://taaz.com,Fashion,,operating,USA,CA,San Diego,San Diego,2,1/1/2008,1/1/2008,
14,baixing.com,http://www.baixing.com,Finance,510000000.0,operating,CHN,23,Shanghai,Shanghai,6,1/4/2005,22/7/2015,
27,Click Quote Save,http://www.clickquotesave.com,Finance,500000.0,operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,1,26/6/2013,26/6/2013,
59,"Ex24, Corp.",,Finance,,operating,USA,FL,"Naples, Florida",Naples,1,2/10/2013,2/10/2013,
101,Mambu,http://www.mambu.com,Finance,1878026.0,operating,DEU,16,,,2,26/1/2011,14/2/2013,
105,Michigan Economic Development Corporation,http://www.michiganbusiness.org/,Finance,500000.0,operating,USA,MI,Lansing,Lansing,1,26/6/2014,26/6/2014,
113,NetRetail Holding,http://www.nrholding.com,Finance,56428000.0,acquired,NLD,7,Amsterdam,Amsterdam,2,4/1/2008,16/9/2010,
139,Revolut,http://www.revolut.com,Finance,2838719.0,operating,GBR,H9,London,London,2,28/6/2014,20/7/2015,
143,Saharey,http://www.saharey.org,Finance,578000.0,operating,PAK,4,Lahore,Lahore,2,7/8/2011,8/7/2013,
176,UPSIDO.com,http://upsido.com,Finance,320000.0,closed,DNK,17,DNK - Other,Kongens Lyngby,1,1/1/2008,1/1/2008,
178,Valutao,http://www.valutao.com,Finance,119564.0,operating,,,,,1,1/5/2010,1/5/2010,
188,Welcome Funds,http://www.welcomefunds.com/,Finance,,operating,USA,FL,Palm Beaches,Boca Raton,1,24/7/2012,24/7/2012,
2,7fgame,http://www.7fgame.com,Games,,operating,CHN,23,Shanghai,Shanghai,1,1/12/2009,1/12/2009,
31,codeSpark,http://www.codespark.org,Games,1650000.0,operating,USA,CA,Los Angeles,Pasadena,3,1/5/2014,1/7/2015,
153,Sneaky Games,http://www.sneakygames.com,Games,680000.0,operating,USA,TX,Austin,Austin,1,10/8/2010,10/8/2010,
10,Atritech,http://www.atritech.net,Hardware + Software,52000000.0,acquired,USA,MN,Minneapolis,Plymouth,2,6/9/2007,26/3/2009,
11,Aurora Flight Sciences,http://www.aurora.aero,Hardware + Software,15000000.0,operating,USA,VA,"Washington, D.C.",Manassas,1,3/10/2003,3/10/2003,
41,Dee's Ventures,,Hardware + Software,,operating,USA,NC,Raleigh,Raleigh,1,3/10/2014,3/10/2014,
91,Keith McMillen Instruments,http://www.keithmcmillen.com/,Hardware + Software,1600000.0,operating,USA,CA,SF Bay Area,Berkeley,1,21/3/2012,21/3/2012,
110,my3Dreams,http://my3dreams.com/,Hardware + Software,40000.0,operating,CHL,12,Santiago,Santiago,1,1/6/2014,1/6/2014,
116,Nozomi Photonics,http://www.nozomiphotonics.com,Hardware + Software,8000000.0,closed,,,,,1,30/8/2005,30/8/2005,
123,Pantry,http://www.pantryretail.com,Hardware + Software,2300000.0,operating,USA,CA,SF Bay Area,San Francisco,2,4/8/2014,6/10/2015,
135,Quintic,http://www.quinticcorp.com,Hardware + Software,12300000.0,operating,USA,CA,SF Bay Area,Santa Clara,3,1/9/2006,20/9/2010,
150,SkyeTek,http://www.skyetek.com,Hardware + Software,18000000.0,operating,USA,CO,Denver,Denver,2,23/8/2005,25/7/2007,
7,Andrew Alliance,http://andrewalliance.com,Health and Wellness,,operating,CHE,7,Geneva,GenÃ¨ve,1,5/8/2014,5/8/2014,
50,ED01,http://www.ed01.com,Health and Wellness,565000.0,operating,USA,NY,New York City,New York,1,1/5/2011,1/5/2011,
69,GlySens,http://www.glysens.com,Health and Wellness,14000000.0,operating,USA,CA,San Diego,San Diego,3,14/9/2012,5/1/2015,
73,Green Chef,http://greenchef.com,Health and Wellness,15500000.0,operating,USA,CO,Denver,Boulder,2,1/12/2014,14/4/2015,
103,MEDeCOACH,http://www.medecoach.com,Health and Wellness,165000.0,closed,USA,TX,Houston,Houston,1,12/7/2006,12/7/2006,
122,Ortho Neuro Management,,Health and Wellness,936000.0,operating,USA,ID,Boise,Boise,1,14/4/2009,14/4/2009,
130,ProactiveNet,http://www.proactivenet.com,Health and Wellness,15000000.0,acquired,USA,CA,CA - Other,Alviso,1,17/7/2001,17/7/2001,
131,ProPharma Group,http://www.propharmagroup.com/,Health and Wellness,,closed,USA,KS,Kansas City,Overland Park,1,25/3/2015,25/3/2015,
132,Providence Surgery Centers,,Health and Wellness,2719425.0,operating,USA,AK,Anchorage,Anchorage,4,1/9/2010,21/8/2015,
189,WellFX,http://www.well-fx.com,Health and Wellness,5000000.0,operating,USA,CA,Napa Valley,Petaluma,1,17/7/2012,17/7/2012,
15,Benvenue Medical,http://www.benvenuemedical.com,Health Care,149465921.0,operating,USA,CA,SF Bay Area,Santa Clara,8,7/1/2008,18/6/2014,
55,Epona Biotech,,Health Care,12500.0,closed,,,,,1,1/8/2015,1/8/2015,
66,Galil Medical,http://www.galil-medical.com,Health Care,52000000.0,operating,USA,MN,Minneapolis,Saint Paul,1,11/12/2006,11/12/2006,
79,I Scream Scoops,http://www.benjerry/jacklondonsquare.com,Health Care,10000.0,operating,USA,CA,SF Bay Area,Oakland,1,16/8/2014,16/8/2014,
104,Medmira,http://medmira.com/,Health Care,3783607.0,ipo,CAN,NS,Halifax,Halifax,1,2/9/2015,2/9/2015,
156,Sonocine,http://sonocine.com,Health Care,7086011.0,operating,USA,NV,Reno - Sparks,Reno,1,9/2/2015,9/2/2015,
159,Stem Cell Theranostics,http://sctheranostics.com,Health Care,4500000.0,operating,,,,,1,1/1/2014,1/1/2014,
160,StnDrd Infusion,http://www.StnDrdInfusion.com,Health Care,350000.0,operating,USA,CO,Denver,Parker,1,17/12/2014,17/12/2014,
166,TakeCare,http://www.take-care.me,Health Care,1000000.0,closed,,,,,1,30/6/2005,30/6/2005,
172,Torax Medical,http://www.toraxmedical.com,Health Care,75699997.0,operating,USA,MN,Minneapolis,Saint Paul,6,28/6/2005,27/12/2013,
74,Harri,http://www.harri.com,Hospitality,375000.0,operating,USA,NY,New York City,New York,2,15/3/2013,26/8/2014,
128,Poudre Valley Health System,http://pvhs.org,Hospitality,154320.0,operating,USA,CO,Fort Collins,Fort Collins,1,11/2/2014,11/2/2014,
170,THE EMPTY JOINT,,Hospitality,,operating,USA,TX,Dallas,Dallas,1,24/1/2012,24/1/2012,
13,Baedal Minjeok,http://smartbaedal.com,Location Based Services|Restaurants|Specialty Foods,36000000.0,operating,KOR,11,Seoul,Seoul,1,26/11/2014,26/11/2014,
33,Contigo Systems,http://www.contigo.com/,Location Based Services|Restaurants|Specialty Foods,3000000.0,operating,CAN,BC,Vancouver,Vancouver,1,7/6/2007,7/6/2007,
186,Drivy,http://www.drivy.com,Location Based Services|Restaurants|Specialty Foods,19462066.0,operating,FRA,A8,Paris,Paris,3,11/9/2012,2/4/2015,
8,Apphat,http://apphat.com/,Mobile,345000.0,operating,USA,WA,Seattle,Seattle,1,16/3/2015,16/3/2015,
12,Aylus Networks,http://aylus.com,Mobile,50700000.0,operating,USA,MA,Boston,Westford,5,1/1/2005,15/6/2011,
18,Biba,http://www.biba.com,Mobile,15515000.0,operating,USA,CA,SF Bay Area,San Francisco,2,1/2/2013,25/6/2013,
40,Dailyevent,http://www.dailyevent.net/,Mobile,100000.0,operating,,,,,1,1/12/2013,1/12/2013,
71,Grande Communications Networks LLC,,Mobile,45000000.0,operating,USA,TX,Austin,Austin,1,10/10/2003,10/10/2003,
80,iBuildApp,http://ibuildapp.com,Mobile,2475000.0,operating,USA,CA,SF Bay Area,Burlingame,8,1/10/2011,7/7/2014,
97,Lilikoi,http://lilikoi.io/,Mobile,20000.0,operating,USA,HI,Honolulu,Kahuku,1,14/10/2014,14/10/2014,
127,Lavu Inc.,http://www.lavu.com/ipad-pos,Mobile,15000000.0,operating,USA,NM,Albuquerque,Albuquerque,1,15/6/2015,15/6/2015,
149,SIM Partners,http://simpartners.com,Mobile,8000000.0,operating,USA,IL,Chicago,Chicago,1,17/6/2014,17/6/2014,
193,Wrapp,http://www.wrapp.com,Mobile,28371641.0,operating,SWE,26,Stockholm,Stockholm,5,14/11/2011,2/11/2015,
203,Zzish,http://www.zzish.com,Mobile,1120000.0,operating,GBR,H9,London,London,3,24/3/2014,25/2/2015,
43,Digsy,http://www.getdigsy.com/,Real Estate,,operating,USA,CA,Anaheim,Irvine,2,19/1/2015,19/1/2015,
84,Infinity Home Investments,http://www.infinityhomeinvestments.com,Real Estate,600.0,operating,USA,IN,South Bend,Elkhart,1,9/1/2015,9/1/2015,
3,Adaptive Digital Power,http://adp-ic.com,Semiconductors,4000000.0,operating,USA,CA,SF Bay Area,San Jose,1,4/8/2010,4/8/2010,
70,Goal Semiconductor,,Semiconductors,3920000.0,operating,,,,,1,17/3/2004,17/3/2004,
93,Kovio,http://www.kovio.com,Semiconductors,76500100.0,acquired,USA,CA,SF Bay Area,San Jose,6,10/11/2005,2/1/2013,
4,Advanced Media,http://advanced-media.co.jp,Software,60764825.0,ipo,JPN,40,Tokyo,Tokyo,1,10/5/2013,10/5/2013,
5,Akira Technologies,http://www.akira-tech.com/,Software,2000000.0,operating,USA,DC,"Washington, D.C.",Washington,1,16/3/2005,16/3/2005,
19,BrainLAB,http://www.brainlab.com,Software,7300000.0,operating,DEU,2,DEU - Other,Feldkirchen-westerham,1,29/10/2006,29/10/2006,
26,Cellcrypt,http://www.cellcrypt.com,Software,3150000.0,operating,GBR,H9,London,London,1,24/1/2007,24/1/2007,
28,Clipabout,http://www.clipabout.com,Software,4000000.0,operating,USA,CA,SF Bay Area,San Francisco,1,1/10/2011,1/10/2011,
32,Conceptua Math,http://conceptuamath.com,Software,2075000.0,operating,USA,CA,Napa Valley,Petaluma,1,21/5/2012,21/5/2012,
35,Cookee,http://www.cookee.com/web/index,Software,16674.0,closed,CHN,7,Xiamen,Xiamen,1,30/6/2015,30/6/2015,
44,Direct Access Software,http://www.dastrader.com,Software,30000.0,operating,USA,NY,NY - Other,Carmel,1,1/12/2008,1/12/2008,
47,Doublewide Software,http://www.doublewidesoft.com/,Software,9000000.0,operating,USA,CA,SF Bay Area,Santa Clara,1,7/11/2003,7/11/2003,
52,Elateral,http://www.elateral.com/,Software,1604597.0,operating,USA,IL,Chicago,Westchester,3,2/5/2014,19/11/2014,
54,epacube,http://epacube.com,Software,2498750.0,operating,USA,TX,Dallas,Dallas,4,3/6/2011,16/9/2013,
57,Everbridge,http://www.everbridge.com,Software,10925000.0,operating,USA,CA,Los Angeles,Glendale,5,19/4/2009,12/1/2015,
75,Helicomm,http://www.helicomm.com,Software,1000000.0,closed,USA,CA,San Diego,San Diego,1,21/3/2006,21/3/2006,
76,HomeCon,http://www.Homecon.ca,Software,,operating,CAN,ON,Toronto,Toronto,1,26/11/2012,26/11/2012,
86,Intrusic,http://www.masshightech.com/stories/2007/02/19/story2-Exciting-Intrusic-shuts-down.html,Software,18100000.0,closed,USA,MA,Boston,Burlington,3,20/4/2004,30/10/2006,
88,iSECUREtrac,http://www.isecuretrac.com,Software,1700000.0,operating,USA,NE,Omaha,Omaha,1,3/10/2012,3/10/2012,
111,Narad Networks,,Software,26250000.0,operating,USA,MA,Boston,Westford,2,15/11/2002,21/2/2007,
112,Native5,http://www.native5.com,Software,,operating,,,,,1,22/9/2015,22/9/2015,
118,Ohana Companies,http://everybodywins.com,Software,2500000.0,operating,USA,DE,"Wilmington, Delaware",Wilmington,2,13/11/2013,18/7/2014,
120,OneTag,http://theonetag.com,Software,1500000.0,operating,USA,IL,Chicago,Chicago,1,12/4/2010,12/4/2010,
144,Saisei,http://www.saisei.com/,Software,14253858.0,operating,USA,CA,SF Bay Area,Sunnyvale,4,1/1/2013,7/10/2015,
145,sentitO Networks,,Software,39000000.0,closed,USA,MA,Boston,Acton,4,7/3/2003,3/8/2006,
152,Smart Media Inventions,http://www.smartmediainventions.com,Software,40000.0,operating,CHL,12,Santiago,Santiago,1,22/8/2013,22/8/2013,
154,Snowflake Computing,http://www.snowflake.net/,Software,65000000.0,operating,USA,CA,SF Bay Area,San Mateo,2,21/10/2014,23/6/2015,
175,Tripshare,http://tripshare.com,Software,,closed,USA,CA,SF Bay Area,San Francisco,1,1/8/2012,1/8/2012,
179,Vartopia,http://vartopia.com,Software,1611364.0,operating,USA,WY,WY - Other,Worland,1,26/4/2011,26/4/2011,
181,Verimed,http://www.verimed.com,Software,3000000.0,operating,USA,NC,Charlotte,Charlotte,1,24/9/2013,24/9/2013,
191,White Sky,http://www.whitesky.com,Software,26525002.0,operating,USA,CA,SF Bay Area,Mountain View,4,26/9/2006,18/6/2012,
63,Friday,,Transportation,1655781.0,operating,,,,,1,21/3/2014,21/3/2014,
140,RiGHT BRAiN MEDiA,http://www.rightbrainmedia.com,Transportation,1000000.0,operating,USA,FL,Orlando,Orlando,1,9/5/2013,9/5/2013,
173,Transportation Group,http://www.truckingbestjobs.com,Transportation,15000.0,operating,USA,OR,Eugene,Bend,1,12/5/2014,12/5/2014,
46,DNART LIMITADA,http://www.dnart.cl,Art,40000.0,operating,CHL,12,Santiago,Santiago,1,10/4/2012,10/4/2012,
177,UrbnDesignz,,Art,,operating,USA,NY,Long Island,Bay Shore,1,10/11/2013,10/11/2013,
39,CSS Corp,http://www.csscorp.com,Web,47000000.0,operating,USA,CA,SF Bay Area,San Jose,2,1/1/2006,17/4/2007,
77,Honestly.com,http://www.honestly.com,Web,1200000.0,closed,USA,CA,SF Bay Area,San Mateo,1,19/10/2010,19/10/2010,
108,muHive,http://muhive.com,Web,30000.0,operating,IND,19,Bangalore,Bangalore,1,1/2/2014,1/2/2014,
126,imbookin (Pogby),http://www.imbookin.com,Web,,operating,USA,NY,New York City,New York,1,26/8/2011,26/8/2011,
129,Primadesk,http://www.primadesk.com,Web,632500.0,operating,USA,CA,SF Bay Area,Novato,4,7/4/2010,21/11/2012,
136,RaceMenu,http://www.racemenu.com,Web,179250.0,operating,USA,MA,Boston,Boston,3,15/5/2011,16/12/2012,
137,redBus.in,http://www.redbus.in,Web,8328770.0,acquired,IND,19,Bangalore,Bangalore,3,1/6/2009,1/5/2012,
167,Teamo.ru,http://www.teamo.ru,Web,2300000.0,closed,RUS,48,Moscow,Moscow,2,1/3/2012,1/11/2012,
29,CloudSplit,http://www.cloudsplit.com,Cloud Computing,149180.0,closed,IRL,7,Dublin,Dublin,1,27/11/2009,27/11/2009,
61,FinancialForce.com,http://www.financialforce.com,Cloud Computing,186300000.0,operating,USA,CA,SF Bay Area,San Francisco,6,1/10/2009,26/3/2015,
114,Nintex,http://www.nintex.com,Cloud Computing,135000000.0,operating,USA,WA,Seattle,Bellevue,1,27/3/2013,27/3/2013,
141,RightScale,http://www.rightscale.com,Cloud Computing,62100000.0,operating,USA,CA,Santa Barbara,Santa Barbara,5,13/2/2006,12/2/2013,
147,ShoutEm,http://www.shoutem.com,Cloud Computing,1648560.0,operating,USA,NY,New York City,New York,2,1/2/2009,1/8/2010,
161,StormMQ,http://stormmq.com,Cloud Computing,149167.0,operating,GBR,J7,GBR - Other,Skipton,1,1/3/2010,1/3/2010,
196,Xova Labs,http://www.xova.com,Cloud Computing,8000000.0,operating,USA,CA,SF Bay Area,Los Altos,1,11/7/2013,11/7/2013,
20,QuasarDB,http://www.quasardb.net,clou,1000000.0,operating,FRA,A8,Paris,Paris,1,23/10/2014,23/10/2014,
99,M2 Connections,http://m2connections.com,har,1225000.0,operating,USA,AL,Birmingham,Oxford,1,12/1/2012,12/1/2012,